,video_file,anchor,sample1,sample2,selected
18,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(26833, 26893)","(60308, 60368)","(60489, 60549)",1
19,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(162173, 162233)","(169131, 169191)","(67823, 67883)",1
,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(3335, 3395)","(42411, 42471)","(2497, 2557)",0
1,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(9006, 9066)","(189972, 190032)","(1842, 1902)",0
2,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42486, 42546)","(6497, 6557)","(40637, 40697)",0
3,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4083, 4143)","(160476, 160536)","(94401, 94461)",0
4,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(162193, 162253)","(207813, 207873)","(28292, 28352)",1
5,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(400, 460)","(194549, 194609)","(19898, 19958)",0
6,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(5491, 5551)","(45275, 45335)","(96429, 96489)",1
7,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(43657, 43717)","(133388, 133448)","(167080, 167140)",0
8,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(6918, 6978)","(60336, 60396)","(59885, 59945)",0
9,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(28309, 28369)","(169097, 169157)","(38740, 38800)",0
10,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(7191, 7251)","(60362, 60422)","(41781, 41841)",0
11,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(6895, 6955)","(91485, 91545)","(19818, 19878)",0
12,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(160843, 160903)","(92785, 92845)","(6600, 6660)",0
13,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(193966, 194026)","(50408, 50468)","(133066, 133126)",2
14,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42186, 42246)","(27238, 27298)","(161311, 161371)",0
15,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(60839, 60899)","(4335, 4395)","(58899, 58959)",0
16,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(2235, 2295)","(92772, 92832)","(12057, 12117)",0
17,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(92103, 92163)","(134188, 134248)","(27115, 27175)",0
18,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(93048, 93108)","(169147, 169207)","(58452, 58512)",0
19,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(161362, 161422)","(60340, 60400)","(30876, 30936)",0
,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(206498, 206558)","(6575, 6635)","(41415, 41475)",0
1,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(43651, 43711)","(95128, 95188)","(189979, 190039)",1
2,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4065, 4125)","(98257, 98317)","(2477, 2537)",0
3,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42761, 42821)","(397, 457)","(63359, 63419)",2
4,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(41827, 41887)","(163325, 163385)","(161311, 161371)",2
5,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(8570, 8630)","(207789, 207849)","(133955, 134015)",0
6,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(26856, 26916)","(2167, 2227)","(206540, 206600)",0
7,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(92819, 92879)","(96198, 96258)","(93057, 93117)",0
8,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(60935, 60995)","(93111, 93171)","(4099, 4159)",0
9,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(96409, 96469)","(45263, 45323)","(194372, 194432)",0
10,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(207460, 207520)","(60542, 60602)","(208379, 208439)",1
11,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(11928, 11988)","(168239, 168299)","(7939, 7999)",2
12,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(38765, 38825)","(42386, 42446)","(2430, 2490)",0
13,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(27127, 27187)","(91819, 91879)","(94864, 94924)",0
14,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(52823, 52883)","(192239, 192299)","(4290, 4350)",0
15,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(99198, 99258)","(206450, 206510)","(158688, 158748)",1
16,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(91780, 91840)","(95824, 95884)","(94519, 94579)",2
17,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(95515, 95575)","(158165, 158225)","(58951, 59011)",0
18,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(157894, 157954)","(69872, 69932)","(8603, 8663)",1
19,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(98725, 98785)","(6656, 6716)","(43656, 43716)",0
,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42187, 42247)","(207672, 207732)","(160842, 160902)",0
1,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(383, 443)","(8880, 8940)","(12027, 12087)",0
2,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(207429, 207489)","(11488, 11548)","(139097, 139157)",0
3,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(167111, 167171)","(160482, 160542)","(4212, 4272)",0
4,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(6525, 6585)","(50401, 50461)","(28310, 28370)",0
5,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(92768, 92828)","(194531, 194591)","(92782, 92842)",1
6,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(95537, 95597)","(4362, 4422)","(91811, 91871)",0
7,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(163393, 163453)","(207555, 207615)","(42362, 42422)",0
8,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(43569, 43629)","(39360, 39420)","(45289, 45349)",0
9,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(28531, 28591)","(38733, 38793)","(95845, 95905)",0
10,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42283, 42343)","(67660, 67720)","(26744, 26804)",0
11,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(94521, 94581)","(60926, 60986)","(207759, 207819)",2
12,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(92732, 92792)","(194274, 194334)","(206521, 206581)",0
13,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(2385, 2445)","(7289, 7349)","(133396, 133456)",0
14,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(67485, 67545)","(9691, 9751)","(59904, 59964)",0
15,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(60877, 60937)","(60851, 60911)","(67669, 67729)",0
16,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(11663, 11723)","(163329, 163389)","(95862, 95922)",1
17,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(12039, 12099)","(43642, 43702)","(41388, 41448)",0
18,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(12391, 12451)","(4510, 4570)","(92884, 92944)",0
19,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(163077, 163137)","(194197, 194257)","(63516, 63576)",0
,video_file,anchor,sample1,sample2,selected
0,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(4491, 4551)","(99180, 99240)","(26737, 26797)",0
1,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(163333, 163393)","(98201, 98261)","(92821, 92881)",0
2,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(98643, 98703)","(60417, 60477)","(98729, 98789)",0
3,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42192, 42252)","(95894, 95954)","(60894, 60954)",2
4,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(19801, 19861)","(161336, 161396)","(206262, 206322)",0
5,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(50510, 50570)","(6825, 6885)","(18720, 18780)",0
6,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(207806, 207866)","(95143, 95203)","(98313, 98373)",1
7,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(8604, 8664)","(169104, 169164)","(60384, 60444)",0
8,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(194593, 194653)","(63321, 63381)","(42535, 42595)",0
9,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42430, 42490)","(45272, 45332)","(207470, 207530)",0
10,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(69847, 69907)","(42314, 42374)","(95127, 95187)",0
11,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(28522, 28582)","(8987, 9047)","(95886, 95946)",0
12,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(67484, 67544)","(161284, 161344)","(96202, 96262)",0
13,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(94406, 94466)","(207561, 207621)","(91510, 91570)",0
14,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(42287, 42347)","(60925, 60985)","(158563, 158623)",0
15,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(12410, 12470)","(58901, 58961)","(2153, 2213)",0
16,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(208388, 208448)","(60529, 60589)","(91828, 91888)",0
17,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(41784, 41844)","(194213, 194273)","(74215, 74275)",0
18,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(58922, 58982)","(194570, 194630)","(163055, 163115)",1
19,/home/orel/Storage/Data/K7/2020-08-12/Down/0044.MP4,"(60532, 60592)","(163321, 163381)","(45483, 45543)",0
""
