,video_file,anchor,sample1,sample2,selected
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(17007, 17067)","(162715, 162775)","(105688, 105748)",0
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(129149, 129209)","(71188, 71248)","(58994, 59054)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(48316, 48376)","(274070, 274130)","(2539, 2599)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(23345, 23405)","(112990, 113050)","(59034, 59094)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(52503, 52563)","(54369, 54429)","(129026, 129086)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(4170, 4230)","(184626, 184686)","(239306, 239366)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(274223, 274283)","(212306, 212366)","(78184, 78244)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(56321, 56381)","(218121, 218181)","(266128, 266188)",0
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105639, 105699)","(82895, 82955)","(112669, 112729)",1
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(112728, 112788)","(68271, 68331)","(16205, 16265)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(267464, 267524)","(130944, 131004)","(54519, 54579)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(254952, 255012)","(68849, 68909)","(52911, 52971)",2
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(180047, 180107)","(180325, 180385)","(179704, 179764)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127806, 127866)","(90100, 90160)","(2735, 2795)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127023, 127083)","(112628, 112688)","(119667, 119727)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(196880, 196940)","(23176, 23236)","(268177, 268237)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(16990, 17050)","(163175, 163235)","(179249, 179309)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26562, 26622)","(82933, 82993)","(180559, 180619)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(122816, 122876)","(83867, 83927)","(73708, 73768)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(16425, 16485)","(73657, 73717)","(210833, 210893)",2
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(71423, 71483)","(254755, 254815)","(178453, 178513)",0
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215282, 215342)","(291398, 291458)","(3140, 3200)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(210201, 210261)","(125372, 125432)","(212680, 212740)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105093, 105153)","(111862, 111922)","(111890, 111950)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105039, 105099)","(218564, 218624)","(274158, 274218)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(71346, 71406)","(179192, 179252)","(109217, 109277)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(112744, 112804)","(217845, 217905)","(268841, 268901)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(260461, 260521)","(267475, 267535)","(271039, 271099)",1
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(55420, 55480)","(152622, 152682)","(163194, 163254)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(66389, 66449)","(125458, 125518)","(2882, 2942)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(123013, 123073)","(211608, 211668)","(66465, 66525)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(185921, 185981)","(211114, 211174)","(185758, 185818)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(1017, 1077)","(264810, 264870)","(14902, 14962)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(4117, 4177)","(107952, 108012)","(270072, 270132)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(262507, 262567)","(77174, 77234)","(56495, 56555)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(1627, 1687)","(209116, 209176)","(101541, 101601)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(67067, 67127)","(293125, 293185)","(129424, 129484)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(83806, 83866)","(54811, 54871)","(14863, 14923)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(182037, 182097)","(84025, 84085)","(79150, 79210)",1
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105474, 105534)","(129022, 129082)","(125231, 125291)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(261201, 261261)","(111847, 111907)","(177893, 177953)",2
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(108806, 108866)","(109124, 109184)","(5327, 5387)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(162652, 162712)","(67818, 67878)","(21158, 21218)",1
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(24800, 24860)","(218567, 218627)","(185854, 185914)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(76212, 76272)","(270154, 270214)","(79567, 79627)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(211098, 211158)","(75538, 75598)","(211112, 211172)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(67255, 67315)","(119857, 119917)","(212303, 212363)",2
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(3547, 3607)","(269693, 269753)","(164908, 164968)",1
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(162925, 162985)","(79947, 80007)","(120689, 120749)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(254783, 254843)","(109114, 109174)","(210299, 210359)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(67248, 67308)","(66957, 67017)","(26302, 26362)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(51296, 51356)","(65993, 66053)","(164549, 164609)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(5253, 5313)","(271022, 271082)","(75812, 75872)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(239307, 239367)","(131359, 131419)","(239222, 239282)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(259338, 259398)","(50810, 50870)","(179493, 179553)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(179017, 179077)","(163048, 163108)","(264498, 264558)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(78942, 79002)","(24885, 24945)","(266071, 266131)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(24309, 24369)","(211569, 211629)","(17032, 17092)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(2336, 2396)","(122107, 122167)","(119476, 119536)",1
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(66482, 66542)","(183271, 183331)","(80448, 80508)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(178479, 178539)","(128177, 128237)","(163284, 163344)",2
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(210567, 210627)","(83904, 83964)","(246176, 246236)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(120736, 120796)","(100716, 100776)","(254648, 254708)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(25914, 25974)","(273320, 273380)","(176162, 176222)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(65774, 65834)","(126960, 127020)","(2751, 2811)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(109162, 109222)","(3563, 3623)","(149805, 149865)",2
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(119688, 119748)","(164858, 164918)","(100816, 100876)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(56321, 56381)","(26171, 26231)","(11888, 11948)",1
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(60976, 61036)","(126340, 126400)","(26064, 26124)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(48228, 48288)","(26085, 26145)","(254714, 254774)",1
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(11910, 11970)","(255685, 255745)","(270246, 270306)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(24687, 24747)","(268967, 269027)","(51458, 51518)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(5037, 5097)","(240558, 240618)","(15634, 15694)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(51379, 51439)","(107392, 107452)","(121561, 121621)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(179018, 179078)","(176148, 176208)","(77600, 77660)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(163381, 163441)","(179617, 179677)","(107442, 107502)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(267480, 267540)","(274758, 274818)","(59408, 59468)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(3528, 3588)","(74800, 74860)","(47932, 47992)",2
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(176417, 176477)","(112733, 112793)","(140962, 141022)",2
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(50425, 50485)","(11706, 11766)","(67960, 68020)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(240666, 240726)","(287773, 287833)","(25049, 25109)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127267, 127327)","(123024, 123084)","(109033, 109093)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(51394, 51454)","(124278, 124338)","(23132, 23192)",0
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(217195, 217255)","(180084, 180144)","(56432, 56492)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(264992, 265052)","(67416, 67476)","(109108, 109168)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(125112, 125172)","(238, 298)","(79469, 79529)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(101665, 101725)","(476, 536)","(152615, 152675)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(79754, 79814)","(84045, 84105)","(274864, 274924)",2
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(4134, 4194)","(83826, 83886)","(71209, 71269)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26064, 26124)","(196213, 196273)","(105129, 105189)",2
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(179827, 179887)","(23358, 23418)","(2535, 2595)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(108032, 108092)","(124498, 124558)","(262795, 262855)",2
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(119544, 119604)","(72711, 72771)","(289550, 289610)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(71156, 71216)","(129133, 129193)","(25084, 25144)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(264736, 264796)","(127317, 127377)","(215431, 215491)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(75275, 75335)","(16993, 17053)","(66823, 66883)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(264787, 264847)","(181862, 181922)","(51151, 51211)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(111309, 111369)","(48289, 48349)","(264929, 264989)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(67835, 67895)","(83100, 83160)","(164839, 164899)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105508, 105568)","(120754, 120814)","(267148, 267208)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(240807, 240867)","(125229, 125289)","(72884, 72944)",1
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(21694, 21754)","(100596, 100656)","(24350, 24410)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(79978, 80038)","(19172, 19232)","(55632, 55692)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(108583, 108643)","(129502, 129562)","(120992, 121052)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(176294, 176354)","(75440, 75500)","(185871, 185931)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(175204, 175264)","(5343, 5403)","(26310, 26370)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(125038, 125098)","(181731, 181791)","(108548, 108608)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(71202, 71262)","(267501, 267561)","(51343, 51403)",0
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127705, 127765)","(67646, 67706)","(61254, 61314)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(274079, 274139)","(72124, 72184)","(58854, 58914)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(48066, 48126)","(274007, 274067)","(3895, 3955)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(22843, 22903)","(131550, 131610)","(197790, 197850)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(162655, 162715)","(23266, 23326)","(176239, 176299)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(48183, 48243)","(82823, 82883)","(2810, 2870)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(77639, 77699)","(266969, 267029)","(105492, 105552)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(65609, 65669)","(79748, 79808)","(202043, 202103)",2
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105256, 105316)","(556, 616)","(26541, 26601)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(16200, 16260)","(48836, 48896)","(66997, 67057)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215516, 215576)","(68923, 68983)","(5254, 5314)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127010, 127070)","(51130, 51190)","(122908, 122968)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(78514, 78574)","(125198, 125258)","(101527, 101587)",1
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(180586, 180646)","(2761, 2821)","(2911, 2971)",1
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(175206, 175266)","(212571, 212631)","(215405, 215465)",0
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(164740, 164800)","(71343, 71403)","(56174, 56234)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(210573, 210633)","(183369, 183429)","(126714, 126774)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(105574, 105634)","(73565, 73625)","(262170, 262230)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(84232, 84292)","(83751, 83811)","(79433, 79493)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(254864, 254924)","(59197, 59257)","(112869, 112929)",0
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(109040, 109100)","(129392, 129452)","(174873, 174933)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(81978, 82038)","(54525, 54585)","(179667, 179727)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(26553, 26613)","(67819, 67879)","(67877, 67937)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(124535, 124595)","(48320, 48380)","(312, 372)",0
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(25899, 25959)","(164694, 164754)","(187117, 187177)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(185741, 185801)","(268641, 268701)","(287759, 287819)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(67208, 67268)","(262805, 262865)","(105106, 105166)",0
11,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(68953, 69013)","(49823, 49883)","(129138, 129198)",0
12,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(3839, 3899)","(79143, 79203)","(163333, 163393)",0
13,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(218123, 218183)","(260493, 260553)","(163230, 163290)",0
14,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(250067, 250127)","(66857, 66917)","(84254, 84314)",0
15,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(246971, 247031)","(68185, 68245)","(122045, 122105)",0
16,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(127805, 127865)","(218582, 218642)","(125455, 125515)",0
17,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(196647, 196707)","(67836, 67896)","(118631, 118691)",0
18,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(24584, 24644)","(274198, 274258)","(283535, 283595)",2
19,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(22987, 23047)","(54844, 54904)","(131459, 131519)",0
,video_file,anchor,sample1,sample2,selected
0,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(215488, 215548)","(101580, 101640)","(122081, 122141)",0
1,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(73336, 73396)","(260367, 260427)","(56208, 56268)",0
2,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(218110, 218170)","(68152, 68212)","(79951, 80011)",0
3,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(48207, 48267)","(65942, 66002)","(26280, 26340)",1
4,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(164534, 164594)","(125468, 125528)","(112999, 113059)",0
5,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(90060, 90120)","(3150, 3210)","(179039, 179099)",0
6,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(183303, 183363)","(26215, 26275)","(112476, 112536)",0
7,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(177923, 177983)","(126934, 126994)","(364, 424)",1
8,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(181116, 181176)","(125113, 125173)","(23115, 23175)",0
9,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(210205, 210265)","(180515, 180575)","(174869, 174929)",0
10,/mnt/Storage1/Data/K7/2020-08-16/Down/0047.MP4,"(84229, 84289)","(184632, 184692)","(71415, 71475)",0
